Function,Duration,Amount
SortedArray,6638,10000
searchSameSort,3277,10000
searchRandomSort,6222,20000
AVLTreeBuild,8519,10000
searchSameAVL,3768,10000
searchRandomAVL,9701,20000
removeSameAVL,3477,10000
HashMapBuild,2261,10000
searchSameHash,708,10000
searchRandomHash,1242,20000
removeSameHash,666,10000
SortedArray,67602,109000
searchSameSort,51664,109000
searchRandomSort,84958,218000
AVLTreeBuild,106737,109000
searchSameAVL,60632,109000
searchRandomAVL,244853,218000
removeSameAVL,58558,109000
HashMapBuild,28978,109000
searchSameHash,27917,109000
searchRandomHash,20575,218000
removeSameHash,28046,109000
SortedArray,153507,208000
searchSameSort,108630,208000
searchRandomSort,169738,416000
AVLTreeBuild,212536,208000
searchSameAVL,121204,208000
searchRandomAVL,630908,416000
removeSameAVL,119867,208000
HashMapBuild,58331,208000
searchSameHash,60249,208000
searchRandomHash,50177,416000
removeSameHash,59267,208000
SortedArray,232799,307000
searchSameSort,169543,307000
searchRandomSort,263513,614000
AVLTreeBuild,332609,307000
searchSameAVL,184001,307000
searchRandomAVL,1039942,614000
removeSameAVL,185301,307000
HashMapBuild,91245,307000
searchSameHash,100785,307000
searchRandomHash,93127,614000
removeSameHash,99959,307000
SortedArray,320260,406000
searchSameSort,215932,406000
searchRandomSort,347682,812000
AVLTreeBuild,444634,406000
searchSameAVL,248038,406000
searchRandomAVL,1427890,812000
removeSameAVL,253325,406000
HashMapBuild,130850,406000
searchSameHash,131400,406000
searchRandomHash,143142,812000
removeSameHash,132415,406000
SortedArray,434681,505000
searchSameSort,273079,505000
searchRandomSort,453150,1010000
AVLTreeBuild,565711,505000
searchSameAVL,321586,505000
searchRandomAVL,1923796,1010000
removeSameAVL,310538,505000
HashMapBuild,176153,505000
searchSameHash,169025,505000
searchRandomHash,212613,1010000
removeSameHash,178249,505000
SortedArray,560599,604000
searchSameSort,341595,604000
searchRandomSort,552168,1208000
AVLTreeBuild,670818,604000
searchSameAVL,376832,604000
searchRandomAVL,2366191,1208000
removeSameAVL,383455,604000
HashMapBuild,207284,604000
searchSameHash,210881,604000
searchRandomHash,276370,1208000
removeSameHash,216082,604000
SortedArray,648658,703000
searchSameSort,408339,703000
searchRandomSort,646762,1406000
AVLTreeBuild,806581,703000
searchSameAVL,455646,703000
searchRandomAVL,2979259,1406000
removeSameAVL,452008,703000
HashMapBuild,258588,703000
searchSameHash,265809,703000
searchRandomHash,378928,1406000
removeSameHash,267967,703000
SortedArray,784139,802000
searchSameSort,456693,802000
searchRandomSort,714898,1604000
AVLTreeBuild,918564,802000
searchSameAVL,515830,802000
searchRandomAVL,3632504,1604000
removeSameAVL,525870,802000
HashMapBuild,314307,802000
searchSameHash,314511,802000
searchRandomHash,464364,1604000
removeSameHash,328173,802000
SortedArray,842477,901000
searchSameSort,507485,901000
searchRandomSort,831045,1802000
AVLTreeBuild,1022244,901000
searchSameAVL,563246,901000
searchRandomAVL,3749433,1802000
removeSameAVL,632030,901000
HashMapBuild,374441,901000
searchSameHash,338206,901000
searchRandomHash,544100,1802000
removeSameHash,351071,901000
SortedArray,983986,1000000
searchSameSort,570940,1000000
searchRandomSort,917431,2000000
AVLTreeBuild,1115397,1000000
searchSameAVL,625258,1000000
searchRandomAVL,4112258,2000000
removeSameAVL,624597,1000000
HashMapBuild,381817,1000000
searchSameHash,381113,1000000
searchRandomHash,636490,2000000
removeSameHash,397000,1000000
